year,GNI,country,cpi
2000,6608.339098,Brazil,52.53158274
2001,6558.627944,Brazil,56.1249316
2002,6668.516529,Brazil,60.86758058
2003,6676.112161,Brazil,69.8241962
2004,6992.197644,Brazil,74.43062767
2005,7144.97052,Brazil,79.54366733
2006,7377.628648,Brazil,82.87143085
2007,7772.362154,Brazil,85.88900587
2008,8055.146095,Brazil,90.76629373
2009,7997.466994,Brazil,95.20298175
2010,8422.304115,Brazil,100
2011,8721.425206,Brazil,106.6364496
2012,8817.986954,Brazil,112.3985493
2013,9104.061484,Brazil,119.3721044
2014,9027.194068,Brazil,126.9272129
2015,8628.462174,Brazil,138.3886146
2016,8260.08853,Brazil,150.4825942
2017,8319.62212,Brazil,155.6687862
2018,8318.923494,Brazil,161.3738142
2019,8359.642267,Brazil,167.3978603
2020,8011.663741,Brazil,172.7742913
2000,2171.518557,China,80.97002229
2001,2330.36921,China,81.55229846
2002,2535.026499,China,80.95535936
2003,2781.797188,China,81.86821482
2004,3054.475828,China,84.9993772
2005,3368.277458,China,86.50931811
2006,3793.957575,China,87.93622961
2007,4328.542625,China,92.17191349
2008,4740.199335,China,97.63333106
2009,5120.41885,China,96.92239907
2010,5622.763963,China,100
2011,6095.330977,China,105.5538989
2012,6576.41506,China,108.318909
2013,6999.473743,China,111.1580018
2014,7542.264837,China,113.2940602
2015,7978.179722,China,114.9221228
2016,8474.075513,China,117.2205674
2017,9041.338603,China,119.0880504
2018,9577.068309,China,121.5588779
2019,10127.42149,China,125.0831544
2020,10285.58721,China,128.1094436
2000,750.8961097,India,54.33832165
2001,774.6590718,India,56.3919261
2002,791.5680311,India,58.8151729
2003,839.7362398,India,61.05359545
2004,891.7349326,India,63.35363809
2005,947.1026336,India,66.04385126
2006,1007.12128,India,69.87209853
2007,1071.861488,India,74.32496447
2008,1087.017585,India,80.53055424
2009,1156.008374,India,89.29417338
2010,1231.292359,India,100
2011,1281.796528,India,108.9117934
2012,1331.194774,India,119.2355389
2013,1398.53127,India,131.1804103
2014,1486.014142,India,139.9244461
2015,1586.977468,India,146.7905015
2016,1699.578597,India,154.0540131
2017,1797.049697,India,159.1811978
2018,1893.669029,India,165.4510689
2019,1946.874135,India,171.621576
2020,1792.796951,India,182.9888226
2000,,Russia,30.75955365
2001,,Russia,37.36578521
2002,,Russia,43.26536845
2003,,Russia,49.17684251
2004,,Russia,54.53151992
2005,,Russia,61.44900898
2006,,Russia,67.39030138
2007,,Russia,73.46034711
2008,,Russia,83.8261661
2009,,Russia,93.58967594
2010,,Russia,100
2011,,Russia,108.4404649
2012,9213.344727,Russia,113.9435398
2013,9355.129883,Russia,121.6389563
2014,9257.344727,Russia,131.1552728
2015,9055.176758,Russia,151.5294641
2016,8804.353516,Russia,162.2008473
2017,9210.908203,Russia,168.1752389
2018,9470.244141,Russia,173.0158221
2019,9682.744141,Russia,180.7502637
2020,9442.548828,Russia,186.8626219
2000,4457.694909,South Africa,59.90070957
2001,4509.619278,South Africa,63.31618824
2002,4671.182914,South Africa,69.32787714
2003,4762.475379,South Africa,73.26529688
2004,4976.278671,South Africa,72.75827884
2005,5191.534827,South Africa,74.25917021
2006,5474.925835,South Africa,76.6680692
2007,5663.048139,South Africa,81.40447442
2008,5816.189004,South Africa,89.60562967
2009,5788.39612,South Africa,96.07095734
2010,5967.300446,South Africa,100
2011,6148.063479,South Africa,104.999267
2012,6109.246444,South Africa,111.0101158
2013,6137.730198,South Africa,117.4314617
2014,6091.158178,South Africa,124.6298197
2015,6116.425843,South Africa,130.288814
2016,6077.850318,South Africa,138.8506084
2017,6115.442944,South Africa,146.0489664
2018,6085.962031,South Africa,152.6462396
2019,6099.404333,South Africa,158.9356399
2020,5788.865914,South Africa,164.0375312
2000,40930.70671,Australia,74.37565036
2001,41383.49537,Australia,77.65348595
2002,42694.44006,Australia,79.96878252
2003,43566.9009,Australia,82.15400624
2004,45476.82981,Australia,84.07908429
2005,46636.10947,Australia,86.34235172
2006,48036.25981,Australia,89.41207076
2007,49942.37854,Australia,91.49323621
2008,51480.26806,Australia,95.47346514
2009,52436.61608,Australia,97.16441207
2010,52095.74069,Australia,100
2011,54666.92948,Australia,103.3038502
2012,56449.27477,Australia,105.1248699
2013,56048.8513,Australia,107.7003122
2014,56121.23462,Australia,110.3798127
2015,55554.92985,Australia,112.0447451
2016,54843.16418,Australia,113.4755463
2017,56524.34319,Australia,115.6867846
2018,57251.68975,Australia,117.8980229
2019,58266.41444,Australia,119.7970864
2020,58315.49956,Australia,120.8116545
2000,34142.84651,Germany,85.69880906
2001,34609.05141,Germany,87.39895083
2002,34531.63576,Germany,88.64072002
2003,34457.04332,Germany,89.55746696
2004,35434.78166,Germany,91.04925561
2005,35591.60184,Germany,92.45770533
2006,37082.98971,Germany,93.9161593
2007,38193.31941,Germany,96.07467364
2008,38184.88003,Germany,98.59988283
2009,37078.81821,Germany,98.90824177
2010,38297.95567,Germany,100
2011,40354.68419,Germany,102.0751745
2012,40367.15351,Germany,104.1253451
2013,40520.98495,Germany,105.6921411
2014,41289.55919,Germany,106.6505552
2015,42039.95018,Germany,107.1991876
2016,42965.45962,Germany,107.7263381
2017,43759.65052,Germany,109.3524635
2018,44279.35688,Germany,111.2466315
2019,44749.43348,Germany,112.8548873
2020,42787.122,Germany,113.4267116
2000,33880.56475,France,84.38913231
2001,34393.17319,France,85.76870964
2002,34409.99558,France,87.41839554
2003,34524.74162,France,89.25284626
2004,35173.76033,France,91.16472224
2005,35475.56624,France,92.75633919
2006,36040.47298,France,94.31012335
2007,36803.56414,France,95.71345616
2008,36688.39135,France,98.40574355
2009,35752.85814,France,98.49196713
2010,36133.0309,France,100
2011,36599.80718,France,102.111598
2012,36333.69277,France,104.107058
2013,36506.16801,France,105.0062468
2014,36800.94587,France,105.5394253
